03/12/2025 12:42:02	"MAC Address"	"Vendor"	"SSID"	"Access Point Name"	"Connected AP"	"Signal Strength"	"Quality"	"Station Count"	"Frequency"	"Position"	"Info"	"Adapter"
03/12/2025 12:42:06	1C:28:AF:5C:42:80	"Hewlett Packard Enterprise"	"eduroam"	""	""	-69	76	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 30% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"30%"
03/12/2025 12:42:06	D0:4D:C6:F2:66:C2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-69	76	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 19% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"19%"
03/12/2025 12:42:06	1C:28:AF:5B:E9:A1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-67	77	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 50% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"50%"
03/12/2025 12:42:06	1C:28:AF:5B:E9:A2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-67	77	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 50% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"50%"
03/12/2025 12:42:06	1C:28:AF:61:E6:B2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-64	79	"0"	"Ch 120 [5.600 GHz]"	""	"0 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"3%"
03/12/2025 12:42:06	D0:4D:C6:F2:ED:A1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-64	79	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 23% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"23%"
03/12/2025 12:42:06	1C:28:AF:61:E6:B0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-63	80	"4"	"Ch 120 [5.600 GHz]"	""	"4 Stations, 3% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"3%"
03/12/2025 12:42:06	D0:4D:C6:F2:ED:A0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-63	80	"1"	"Ch 6 [2.437 GHz]"	""	"1 Station, 23% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"23%"
03/12/2025 12:42:06	D0:4D:C6:F2:ED:A2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-63	80	"0"	"Ch 6 [2.437 GHz]"	""	"0 Stations, 23% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"23%"
03/12/2025 12:42:06	1C:28:AF:61:E6:A1	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-61	81	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"20%"
03/12/2025 12:42:06	1C:28:AF:61:E6:A0	"Hewlett Packard Enterprise"	"eduroam"	""	""	-61	81	"1"	"Ch 11 [2.462 GHz]"	""	"1 Station, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"20%"
03/12/2025 12:42:06	1C:28:AF:61:E6:A2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-61	81	"0"	"Ch 11 [2.462 GHz]"	""	"0 Stations, 20% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"20%"
03/12/2025 12:42:06	D0:4D:C6:F2:C8:72	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-60	82	"0"	"Ch 60 [5.300 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"4%"
03/12/2025 12:42:06	D0:4D:C6:F2:C8:71	"Hewlett Packard Enterprise"	"tudelft-dastud"	""	""	-60	82	"0"	"Ch 60 [5.300 GHz]"	""	"0 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"4%"
03/12/2025 12:42:06	D0:4D:C6:F2:C8:70	"Hewlett Packard Enterprise"	"eduroam"	""	""	-60	82	"15"	"Ch 60 [5.300 GHz]"	""	"15 Stations, 4% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"4%"
03/12/2025 12:42:06	D0:4D:C6:F2:ED:B0	"Hewlett Packard Enterprise"	"eduroam"	""	"Connected AP"	-59	82	"9"	"Ch 36 [5.180 GHz]"	""	"9 Stations, 8% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"8%"
03/12/2025 12:42:06	D0:4D:C6:F2:ED:B2	"Hewlett Packard Enterprise"	"TUD-facility"	""	""	-58	83	"0"	"Ch 36 [5.180 GHz]"	""	"0 Stations, 7% Channel Utilization"	"Wi-Fi [MediaTek Wi-Fi 6 MT7921 Wireless LAN Card]"	"7%"
